text,airline_sentiment
@united calling that number was useless. Heading to the airport now to pick up my bags. this whole situation seems like a real joke.,negative
@SouthwestAir please....can I have the last tickets for me and my best friend to #DestinationDragons http://t.co/eQqi1nfSZh,neutral
"@AmericanAir I need to speak to a REAL PERSON. My flight was Cancelled Flightled with no explanation, and I've been on hold for more than 3 hours.",negative
"@vanessaannz seriously, you hate @AmericanAir since they can't accommodate you due to inclemental  weather disruptions? lol, very funny",negative
@AmericanAir I spent $600 on my flight. Could have gone on @united for $382 but their mileage program sucks.,negative
@united Thank you!,positive
@SouthwestAir #3252 Manchester-BWI being delayed for one idiot who isn't on the plane?! We've waited 2 hours for our window and may miss it,negative
@SouthwestAir apologies help. Would have been nice had supvsr. Sally in CLE offered one. Not usual gr8 southwest customer service I love,negative
"@AmericanAir confused at the definition of a ""preferred seat."" I paid extra for one and got a regular seat with no legroom. Unimpressed.",negative
@United terrible illogical re-route after Cancelled Flightled connection. Then made me pay to check bag. Then lost bag. #ual,negative
@USAirways She was put on hold on that number for a loooooong time too.  No help. #lostandforgotten,negative
"@jetblue We'd love to help Shanese Bryant-Melton, a hard-working grandmother from DC, go to Miami. It's on her bucket list. #flyitforward",neutral
@USAirways ~45 minutes means no public transit home and an expensive cab. Promises doesn't make up for it,negative
"@united @VUSA_Australia I'm just an Aussie cowgirl lookin' for my cowboy. Take me to Fort Worth, Estelle says I'll find him there!",neutral
@SouthwestAir or you could send me a DM.,neutral
@AmericanAir has no idea what they're doing. Delay 1 flight from 5pm to 7:40pm then delay another TO THE SAME DESTINATION  @ THE SAME TIME.,negative
"@USAirways still Effin waiting... Not weather delays, not engine trouble, but lack of crew?  Are you shitting me?",negative
"@AmericanAir Yes, thanks I found those, didn't see the gray tab at first :)",neutral
@JetBlue Found someone to ask. No answers. Landed almost 40 minutes ago.,negative
@USAirways forgetting to fuel up? Realizing there was more cargo to add to plane? One way to try and mask a delay.,negative
"@united thanks for having no one to pilot my last two flights, and all but stranding me in Houston tonight.  Airlines are the absolute worst",negative
@AmericanAir its pulling away from gate to get your departure time then leaving us on tarmac claiming power issues that magically repaired,negative
@USAirways will my known traveler no. transfer over from @AmericanAir ? when I check in at t-24 as an AA elite I can get choice seats?,neutral
@JetBlue any idea when November-December 2015 travel opens up?,neutral
@sarahpompei don't bother wasting your time!  @USAirways will send u a form letter &amp; let u choose a gift certificate. #worstcustomerservice,negative
"@VirginAmerica another perfect flight.   How come on your planes,  the sun visors can stay down?  Other carriers make you raise them?",positive
@AmericanAir thank you for the confirmation.,positive
@SouthwestAir my birthday is February 24th which is the date of the imagine dragons in flight concert btw,neutral
@AmericanAir now a delay to the rebooked flight?!,negative
@SouthwestAir I love you guys! Had to take a few other airlines this week...makes me love and appreciate y'all so much more! #onlywaytofly,positive
"@united better train your support staff with appropriate decorum, consider revisiting your terrible ""provide a death certificate' policy",negative
@AmericanAir second pic from CDG?,neutral
@AmericanAir Close down,negative
"@AmericanAir I understand that, but I'm not even being put on hold - it says ""try again Late Flightr, goodbye"".",negative
@USAirways @AmericanAir can someone please tell me who I have to talk to #getittogether #findurgrip,negative
@JetBlue any concern about Cancelled Flightled flights due to the cold weather in NJ Saturday am? Do you Cancelled Flight at 0 degrees?,neutral
@USAirways Im researching a flight &amp; noticed a small issue w/class of service between your site &amp; other sites. Could Reservations help me?,neutral
"@united flight landed 13 hours ago, 2 more flights CMH-IAD last night and still no bag..could have driven it from CMH",negative
@USAirways would have been nice to be offered in flight credit. Especially since I'm staring at empty overhead room.,negative
@SouthwestAir for the win as always- saved my day and got me on a direct to Orlando. 🎉🎉🎉,positive
@SouthwestAir #DestinationDragons @Imaginedragons I'm a HUGE FAN! I would love tix to your show!,positive
@USAirways how's us 1797 looking today?,neutral
@united. Thanks United for the no running water and Late Flight flight from Grand Rapids to Denver,negative
"@USAirways Best part was hearing the attendant give a voucher to person next to me for hotel at BGR. Then my guy saying ""we don't do that""",negative
@united why would a person take hours and hours of wait time just to tell a lie,negative
"@AmericanAir I already landed! But, if you still care it was 1891. Thanks for the help though!, do you k ow what caused the failure?",neutral
@united thank you thank you thank you for contacting me. Thank you for the offer of a $1000 travel certificate #unitedairlines,positive
@united can you help me with a delayed flight as im going to miss my connection?,negative
@AmericanAir who do I need to talk to to get a full refund on my trip? Your call center offers no assistance.,negative
@USAirways now telling me I don't have the correct tag for my luggage!!! My luggage apparently is not in LA or Charlotte. This is not ok!!,negative
"@AmericanAir daughter record loc. is KYBILC. She is traveling with 3 y.o. and needs to be in adjacent seats, not across isle.",neutral
@united Yeah sorry but there's always a problem with United. And you have an international reputation for having problems.,negative
"@USAirways - what a disaster! Flight 3739, missed passenger count by 5 since it was done manually!!  Really???",negative
.@AmericanAir Hopefully it's all fixed. They've got a new aircraft for us- just waiting to board.,neutral
"@SouthwestAir I tried for 5hrs to contact SW! Twitter, fb, phone, email w/ no reply. 24hrs Late Flightr u respond, what could you do at this point?",negative
@united Thanks for looking into this and for getting back to me via DM. Glad to hear my bag is finally being delivered to me. Thanks again!,positive
@VirginAmerica thank you,positive
@USAirways I have received two reservation check-ins for two different flights for my one flight tomorrow morning. Need assistance ASAP,neutral
"@SouthwestAir my trip is a month away...why do you consider it ""around the corner""? Is that a setting I can change?",negative
@united 2nd flight in two weeks that you have lost my bag!  Taking my 1K status to @AmericanAir #neveragain #WORSTCUSTOMERSERVICE,negative
@JetBlue That is not very gracious of @jetblue to tell me where I can go BUY water or a snack when our flight is delayed over 3 hours.,negative
@JetBlue's CEO battles to appease passengers and Wall Street - @TheVDT http://t.co/VD0tLomtwu,neutral
#nothelpful MT @AmericanAir: Our call volume is extremely high today. Our apologies. Please continue contacting Reservations for assistance.,negative
@USAirways Flight 4424 operated by @FlyRepublicAir (N813MA) arrives at @FlyTPA following flight from Reagan National http://t.co/OSc9OFlol3,neutral
@AmericanAir why arent callings going thru it doesnt have me wait or anything and automated stuff is messed up,negative
@AmericanAir why is does it seem to be impossible to contact anyone at your airline to get an item left on board a plane 5 min after deplane,negative
"@SouthwestAir I use to #LUV swa but after an hour and counting on hold, for a flight they Cancelled Flighted on me? #noluv",negative
@united the Premier desk was able to rebook me with our friends at @AmericanAir. Only problem is now I have to pay for a checked bag :/,negative
@SouthwestAir #worstthingever 2days Late Flightr our lost bag was fedexed somewhere. Do you know where cause we don't &amp; it was delivered somewhere,negative
@JetBlue is that supposed to change in the near future?,neutral
@USAirways please change direct flights from RIC to JFK instead of LGA. Pleeeeease! LGA is the pits.,neutral
@VirginAmerica to jump into the #Dallas #Austin market http://t.co/SzR0pioA21,neutral
"@USAirways captain on flight 1712 from PHX-PHL at 3:55 tonight was hilarious. ""Greetings from the pointy end of the airplane"" haha thanks!",positive
@SouthwestAir flying flight 3130 tonight at 7:20 from PBI- I have boarding position C-42. Is it overbooked? Really don't want to be bumped!,neutral
@united error message said couldn't process request at the last step after seat selection on each leg. Agent was unaware of an (1 of 2),negative
@SouthwestAir On hold with airline 45 min and counting. Service is terrible!,negative
@USAirways thank you for reaching out to me. Hopefully my request will be fixed and I can remain a loyal customer.,negative
"@AmericanAir the dinner and called me ""hon"". Not the service I would expect from 1st class.  #disappointed",neutral
@SouthwestAir your WiFi is shit. fix that up before I jump out of the closest bloody fucking emergency exit.,negative
@SouthwestAir sure thing,positive
"@SouthwestAir Sure was,  with @Delta  looks like I'll make my birthday celebration after all.",negative
@AmericanAir refund,negative
@AmericanAir  many have missed connections already b/c of delayed flight which will finally board soon,negative
@SouthwestAir Big kudos to your staff today at Dallas Love Field for lifting everyone's spirits today with all the delays and Cancelled Flightlations,positive
@SouthwestAir why do you let one person board with early bird and save seats for entire party? #notcool #flight2149,negative
"@USAirways after a grt flight to PHX last week,  tonight was terrible. 2.5 hours taxing and you give us water and crackers to compensate.",negative
"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",positive
@SouthwestAir good to be back. See you all again in several weeks.,positive
@USAirways  is there a better time to call? My flight is on Friday and I need to change it. Worried I may be on hold until then.,negative
@JetBlue everyone is overreacting. Keep up your swag!,neutral
@JetBlue please get service started at @triflight and offer good routes lile florida upstate ny vegas etc,negative
@united this flight has been amazing. This is the best flight I have ever been on I am not kidding. Service is INCREDIBLE!,positive
.@USAirways You'll be receiving a long &amp; detailed complaint letter soon. Long story short: never flying USAir again.,negative
"@united OK, thanks for the clarification.",neutral
"@JetBlue even @Citi responded quicker via Twitter when they #fail.... Still on hold, hoping no one books the flight..... @JetBlue #fail",negative
@AmericanAir this is a big company should be happy to do something for a customer when now it's costing more for delays oh and did I mention,negative
@AmericanAir  A true #AmericanView ...The National Mall http://t.co/N7ExdbcRHg,neutral
"@JetBlue Been dealing with a Cancelled Flightled flight since last night &amp; was booked to a 6:15 flight,wouldve at least liked to see Ella perform lol",negative
@AmericanAir and is there a delay on our connection to pns?,neutral
“@JetBlue: Our fleet's on fleek. http://t.co/pr3OeBC2N2” lol wut?,neutral
"@united poor showing today, no assistance to passengers who mis connected due to maintenance and waiting for baggage",negative
@AmericanAir stuck in airplane both on way out of PHL and again in Houston. All passengers frustrated. Makes me want to avoid airline,negative
"@JetBlue  I shouldn't have to find them, they should tell us. I've flown Jet Blue since your first month. The experience isn't what it was.",negative
@united Another awful experience and Victoria at the check in desk in STL could not have been more rude and condescending.,negative
@USAirways your service has been awful in Boston and I had to pay 25 extra dollars than I was supposed too I am very dissatisfied #mad,negative
@USAirways thanks for being so bad you make a two day train trip look appealing!!,negative
@VirginAmerica Site down? #help,negative
"@JetBlue my credit card company accidentally marked my jet blue tickets as fraud, then corrected their mistake and reposted the money.",neutral
@SouthwestAir y'all the real MVP with these prices...,positive
@JetBlue That's pretty nice. Are flight credits automatically given after the flight? I also wish there were a lounge I could sleep in.,neutral
@USAirways horrible experience to key west lost luggage called to check &amp; was told not to call back reconsidering my flight back,negative
"@united worst airline ever! Staff is nasty, wifi down bags are delayed due to weather?? And now the belt is broken. Selling UAL stock in AM",negative
"@JetBlue, your hold music sucks.",negative
@JetBlue @FerrisSalameh Love JetBlue's speedy Twitter customer service.,positive
@USAirways who would like to watch the video of how loyal customers are really treated while asking for an explanation for our 6 hour delay?,negative
@united I can't even look at you right now. I'll call you when I'm not so mad.,negative
"@SouthwestAir I have a flight to Vegas coming up soon, but haven’t received any drink tickets Late Flightly. Can you help me out?",neutral
@JetBlue I've spoken 2/emailed JB team and explained situation. Didnt seem to matter to anyone other than me. I guess I just expected more.,negative
@USAirways awesome! Flight #676 out of philly on Tuesday. Party in row 15 if you're interested.,positive
@USAirways you guys should be nice and just give your routes to jet blue and southwest.  At least they treat their customers properly.,negative
"@united I will be calling customer service. 2 delayed flights today now, luggage misplaced, a disaster across the board.",negative
"@USAirways stuck on the ramp at DCA, US Air computer system crashed...everywhere.",negative
"@USAirways Cancelled Flights my flight to NY 3 times, then once I make it here they decided for S&amp;Gs they'll Cancelled Flight my return flight too. Thanks.",negative
"@JetBlue Although it wasn't totally the answer I was looking for, I appreciate the prompt response.",positive
"@americanair the best is your 800 message saying to use website and your website is saying you need to call.  If you don't answer, #hardtodo",negative
@united sure but the plane is an hour Late Flight! Your ontime departure ship sailed away a long time back!,negative
@AmericanAir my flight 1337 is Cancelled Flightled.  Can you let me know what my new flight info is?,negative
@USAirways if I try and call your reservations line will someone answer the phone now or will I be on hold for an hour again?,negative
@USAirways only happened because u couldn't get us home the next day. #flydelta #flysouthwest #flyjetblue #theyareallbetter #stillnobags,negative
@USAirways sitting here in PHL with all of your rude Customer Service Agents!,negative
@SouthwestAir they were moved to the 210pm flight #4649. Main concern now is luggage arriving with them. They were told that SW was having,negative
"@AmericanAir ""overweight"" flight = you sold more tickets than you had seats. We all know that. Let's call it what it is.",negative
@united 618 was flight out of Houston,neutral
@USAirways needs to hire more people http://t.co/3LPVFhKy2F,negative
"@AmericanAir Hey, AA! There was a mistake made by your CR on my Flight Booking Problems. When I call your reservations #, I keep getting hung up on. Advise.",negative
@united thanks for the upgrade today great way to start my week! Cc: @CiscoJimFrench @cobedien,positive
@VirginAmerica WTF is happening in PDX Late Flight March such that one way from SFO is ~$550?,negative
"@united Hi JH, my experience with United has been entirely disgusting but yes, I'd like assistance in getting compensated for my bag.",negative
